Country,Year,FLT_DEP_1,FLT_ARR_1,FLT_TOT_1,Country_WB,Country Name,GDP_pc,Population,Inbound_Per_Capita,Outbound_Per_Capita
Estonia,2020,10040,10057,20097,Estonia,Estonia,23933.9939421065,1329522.0,0.007564372759533125,0.007551586209178938
Estonia,2021,11911,11898,23809,Estonia,Estonia,27951.1659277744,1330932.0,0.008939600219996213,0.008949367811428383
Estonia,2022,17746,17744,35490,Estonia,Estonia,28340.3826549406,1348840.0,0.013155007265502209,0.01315649002105513
Estonia,2023,17639,17643,35282,Estonia,Estonia,30264.0064885057,1370286.0,0.012875414329563318,0.012872495230922596
Estonia,2024,20259,20267,40526,Estonia,Estonia,31428.3547816104,1372341.0,0.014768195368352326,0.014762365913428221
Finland,2016,84285,84296,168581,Finland,Finland,43451.2562442158,5495303.0,0.015339645511812543,0.015337643802352663
Finland,2017,88305,88692,176997,Finland,Finland,46085.0174739036,5508214.0,0.016101770918849557,0.016031512210673005
Finland,2018,96245,96249,192494,Finland,Finland,49654.2497035329,5515525.0,0.01745056001015316,0.017449834784540003
Finland,2019,97320,97314,194634,Finland,Finland,48358.1807773701,5521606.0,0.017624220199702768,0.017625306840075152
Finland,2020,36386,36403,72789,Finland,Finland,48828.6846862799,5529543.0,0.006583365026730057,0.006580290631612775
Finland,2021,36134,36162,72296,Finland,Finland,53099.1351400148,5541017.0,0.0065262387753006355,0.006521185551316663
Finland,2022,66355,66346,132701,Finland,Finland,50440.560224974,5556106.0,0.011941096876121514,0.011942716715627815
Finland,2023,70933,70925,141858,Finland,Finland,52834.2916752703,5583911.0,0.012701670925629007,0.012703103613220197
Finland,2024,76579,76571,153150,Finland,Finland,53149.7671934051,5619911.0,0.01362494886484857,0.013626372374936187
France,2016,904860,905535,1810395,France,France,37024.2157133669,66724104.0,0.01357133248278613,0.013561216198571958
France,2017,918431,919011,1837442,France,France,38687.1626407164,66918020.0,0.013733386014708743,0.013724718693111362
France,2018,927668,928363,1856031,France,France,41418.1766484844,67158348.0,0.013823493692846644,0.013813145016610594
France,2019,938324,938925,1877249,France,France,40408.2848574751,67382061.0,0.013934346709875794,0.013925427421995894
France,2020,440871,441829,882700,France,France,39169.8606000707,67601110.0,0.006535824633648767,0.00652165326871112
France,2021,561439,562675,1124114,France,France,43725.0999521245,67842811.0,0.008293804335436514,0.00827558575071425
France,2022,798963,800849,1599812,France,France,40988.6396406579,68184457.0,0.011745330757712127,0.011717670494904726
