Country,Year,FLT_DEP_1,FLT_ARR_1,FLT_TOT_1,Country_WB,Country Name,GDP_pc,Population,Inbound_Per_Capita,Outbound_Per_Capita,Visa_Acceptance_Rate,GDP_Cluster
Poland,2018,214235,214268,428503,Poland,Poland,15658.2120316794,37974750.0,0.0056423807925002,0.005641511794021,96.52012948178806,Lowest 25%
Poland,2019,221768,221911,443679,Poland,Poland,15874.5220531254,37965475.0,0.0058450737150002,0.0058413071349693,96.34250020923912,Lowest 25%
Poland,2020,97122,97281,194403,Poland,Poland,16150.9304813473,37515748.0,0.0025930710484567,0.0025888328282832,94.95676816749082,Lowest 25%
Poland,2021,118961,119163,238124,Poland,Poland,18635.5104895754,36981559.0,0.0032222275972735,0.0032167654154331,93.9629037263374,Lowest 25%
Poland,2022,191222,191257,382479,Poland,Poland,18891.2121169279,36821749.0,0.0051941313271132,0.0051931808019222,87.85884447866785,Lowest 25%
Poland,2024,238406,238488,476894,Poland,Poland,25103.565661423,36559233.0,0.0065233316027171,0.0065210886672595,82.39792716383654,Lowest 25%
Portugal,2016,185434,185384,370818,Portugal,Portugal,19980.2808866516,10325452.0,0.0179540808479861,0.0179589232510111,86.5046237463098,Higher Low 25-50%
Portugal,2017,205488,205518,411006,Portugal,Portugal,21442.3842768879,10300300.0,0.0199526227391435,0.0199497102026154,84.72155809064068,Higher Low 25-50%
Portugal,2018,215936,215953,431889,Portugal,Portugal,23541.1401075289,10283822.0,0.0209992938423088,0.0209976407604098,82.92522775368083,Higher Low 25-50%
Portugal,2019,221350,221235,442585,Portugal,Portugal,23343.3628970034,10286263.0,0.0215078109513629,0.0215189909104987,79.36353604543191,Higher Low 25-50%
Portugal,2020,96945,96687,193632,Portugal,Portugal,22299.4044062173,10297081.0,0.009389748415109,0.0094148040595193,69.96272940843976,Higher Low 25-50%
Portugal,2021,127859,127758,255617,Portugal,Portugal,24711.4510062111,10361831.0,0.0123296741666603,0.0123394214786942,84.87398502583571,Higher Low 25-50%
Portugal,2022,213114,212977,426091,Portugal,Portugal,24620.5197587181,10434332.0,0.0204111772560045,0.0204243069896568,81.61812941059536,Higher Low 25-50%
Portugal,2024,241017,240946,481963,Portugal,Portugal,29292.242104753,10694681.0,0.0225295172431978,0.0225361560573896,84.33485127410135,Higher Low 25-50%
Romania,2024,62299,62328,124627,Romania,Romania,20080.2096215595,19051804.0,0.0032715012184672,0.0032699790529022,88.35657116999916,Lowest 25%
Slovakia,2016,10455,10496,20951,Slovak Republic,Slovak Republic,16636.0769133073,5430798.0,0.0019326809798486,0.0019251314447711,97.3780253553592,Higher Low 25-50%
Slovakia,2017,11084,11126,22210,Slovak Republic,Slovak Republic,17645.5298716761,5439232.0,0.0020455093660281,0.0020377876876735,97.38946660582627,Higher Low 25-50%
Slovakia,2018,11941,11965,23906,Slovak Republic,Slovak Republic,19573.3717031314,5446771.0,0.0021967143469038,0.002192308066559,94.15233048475575,Higher Low 25-50%
Slovakia,2019,11272,11321,22593,Slovak Republic,Slovak Republic,19406.0589683582,5454147.0,0.0020756682942355,0.0020666843046217,93.26243948892945,Higher Low 25-50%
Slovakia,2020,4505,4548,9053,Slovak Republic,Slovak Republic,19735.4858280801,5458827.0,0.00083314602203,0.0008252688718656,95.27668441768928,Higher Low 25-50%
Slovakia,2021,5484,5496,10980,Slovak Republic,Slovak Republic,22123.3342114545,5447247.0,0.0010089500255817,0.0010067470779276,95.67678847143593,Higher Low 25-50%
Slovakia,2022,8589,8597,17186,Slovak Republic,Slovak Republic,21317.7943982363,5431752.0,0.0015827305812194,0.0015812577599271,89.06723446073212,Higher Low 25-50%
Slovakia,2024,10423,10424,20847,Slovak Republic,Slovak Republic,25992.6748502048,5422069.0,0.0019225133431536,0.0019223289117124,89.25079141751671,Higher Low 25-50%
Slovenia,2016,15112,15170,30282,Slovenia,Slovenia,21447.8377796036,2065042.0,0.0073460975612118,0.0073180109653944,81.74756531148554,Higher Low 25-50%
Slovenia,2017,16890,16962,33852,Slovenia,Slovenia,23303.077705959,2066388.0,0.0082085261819174,0.0081736827739998,80.29189595652323,Higher Low 25-50%
Slovenia,2018,17705,17773,35478,Slovenia,Slovenia,25888.0481065655,2073894.0,0.0085698690482734,0.008537080487238,76.39662159603076,Higher Low 25-50%
Slovenia,2019,16026,16076,32102,Slovenia,Slovenia,25814.1687167572,2088385.0,0.0076978143397888,0.0076738723942184,78.22307192843229,Higher Low 25-50%
